Flowing for Women,Puma,10210001
Adidas Moves for Her,Adidas,10210009
Agua Fresca de Rosas,Adolfo Dominguez,10210014
Alegria,Adolfo Dominguez,10210015
Azahar,Adolfo Dominguez,10210017
AV,Adrienne Vittadini,10210018
Adrienne Vittadini,Adrienne Vittadini,10210019
Memorie di Venezia,Adrienne Vittadini,10210020
Memoire di Capri,Adrienne Vittadini,10210022
Agent Provocateur,Agent Provocateur,10210023
Le Temps D'Aimer,Alain Delon,10210024
Lyra (original),Alain Delon,10210025
Iquita,Alain Delon,10210027
Samouraï Woman,Alain Delon,10210030
Alessandro Dell'Acqua,Alessandro Dell'Acqua,10210033
Kingdom,Alexander McQueen,10210036
Enigma,Alexandra de Markoff,10210037
Alexandra,Alexandra de Markoff,10210038
No Regrets,Alexandra de Markoff,10210039
Desire for a Woman,Dunhill,10210040
Sung,Alfred Sung,10210041
E.N.C.O.R.E,Alfred Sung,10210042
Sung Spa,Alfred Sung,10210043
Forever,Alfred Sung,10210044
Pure,Alfred Sung,10210045
Shi,Alfred Sung,10210046
Pure Moment,Alfred Sung,10210047
Les Fleurs,Alyssa Ashley,10210051
Vanilla,Alyssa Ashley,10210052
Gold Woman,Amouage,10210056
Ubar Woman,Amouage,10210057
Silver Cristal Femme,Amouage,10210058
Dia Woman,Amouage,10210059
Marilyn Red,Andy Warhol,10210062
Marilyn Blue,Andy Warhol,10210063
Animale Animale,Animale Parfums,10210068
Animale,Animale Parfums,10210071
Anna Sui,Anna Sui,10210072
Sui Dreams,Anna Sui,10210073
Sui Love,Anna Sui,10210074
Dolly Girl,Anna Sui,10210075
Annayaké Pour Elle,Annayaké,10210080
Anne Klein,Anne Klein,10210081
Anne Klein II,Anne Klein,10210082
Anné Pliska,Anné Pliska,10210083
Folavril,Annick Goutal,10210084
Eau de Charlotte,Annick Goutal,10210087
Eau de Camille,Annick Goutal,10210088
Passion,Annick Goutal,10210089
Rose Absolue,Annick Goutal,10210090
Tubéreuse,Annick Goutal,10210091
Heure Exquise,Annick Goutal,10210092
Eau du Ciel,Annick Goutal,10210093
Gardénia Passion,Annick Goutal,10210094
Grand Amour,Annick Goutal,10210096
Petite Chérie,Annick Goutal,10210097
Ce Soir Ou Jamais,Annick Goutal,10210098
La Violette,Annick Goutal,10210099
Le Muguet,Annick Goutal,10210100
Quel Amour!,Annick Goutal,10210101
Le Chèvrefeuille,Annick Goutal,10210102
Des Lys,Annick Goutal,10210103
Estivalia,Antonio Puig,10210108
Thaïs,Antonio Puig,10210111
Agua de Luna,Antonio Puig,10210112
Hussein Chalayan,Hussein Chalayan,10210115
New West for Her,Aramis,10210116
Tuscany per Donna,Estee Lauder,10210117
Havana pour Elle,Aramis,10210118
Armand Basi Femme,Armand Basi,10210119
Armand Basi in Red,Armand Basi,10210121
Arrogance pour Femme,Arrogance,10210122
Dance,Arrogance,10210123
Bizarre,Atkinsons,10210134
Baruffa,Atkinsons,10210135
Euforia,Atkinsons,10210136
Histoire d'Amour,Aubusson,10210138
Désirade,Aubusson,10210139
25,Aubusson,10210140
Aubusson Couleurs,Aubusson,10210142
Histoire d'Amour 2,Aubusson,10210146
Austin Reed for Women,Austin Reed,10210147
Love (original),Aveda,10210148
Desert Pure-Fume Sand Verbena,Aveda,10210156
Desert Pure-Fume Dune Primrose,Aveda,10210157
Love (new),Aveda,10210159
Comfort Scents - Clean Cotton,Avon,10210160
Célèbre,Avon,10210161
Emprise,Avon,10210163
Cotillon,Avon,10210164
Wishing,Avon,10210170
To A Wild Rose,Avon,10210184
Bright Night,Avon,10210185
Nearness,Avon,10210186
Daisies Won't Tell,Avon,10210188
Here's My Heart,Avon,10210191
Topaze,Avon,10210193
Unforgettable,Avon,10210194
Somewhere,Avon,10210197
Occur!,Avon,10210198
Honeysuckle,Avon,10210202
Hawaiian White Ginger,Avon,10210203
Regence,Avon,10210204
Brocade,Avon,10210205
Bird Of Paradise,Avon,10210207
Charisma,Avon,10210210
Elusive,Avon,10210212
Hana Gasa,Avon,10210214
Moonwind,Avon,10210215
Raining Violets,Avon,10210216
"Roses, Roses",Avon,10210218
Lemon Velvet,Avon,10210219
Sonnet,Avon,10210220
Patchwork,Avon,10210223
Sweet Honesty,Avon,10210224
Imperial Garden,Avon,10210225
